"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0350_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF044_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Mining, manufacturing and construction, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.702160040279305","1.625180117317175","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF101_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Sickness and disability, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0180_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Transfers of a general character between different levels of government, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF075_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0490_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Economic affairs n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0760_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Health n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF045_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Transport, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.11746845927345","9.300935447615731","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0220_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Civil defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF072_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Outpatient services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7420216338539961","0.731409277735891","","","","","","","","","","","","",""
